Time,Steering Angle,Error
1730455126.5897973,-1.243766405619313,-10
1730455127.087061,0.14896571980065404,0
1730455127.203438,-4.540091222302133,-24
1730455127.2748446,10.260455197133668,29
1730455127.319347,1.2258120504859946,24
1730455127.4076896,2.8004257452297305,26
1730455127.4962747,-8.748341967556684,-27
1730455127.6000364,9.24973410245289,34
1730455127.7114184,0.36929462987986006,18
1730455127.7575953,-13.115088441889519,-29
1730455127.9351966,8.1042080494093,41
1730455127.9721797,1.583190856057585,34
1730455128.0360844,5.044433434612042,40
1730455128.131512,-8.403074477736318,-21
1730455128.1791363,17.882752070582864,43
1730455128.2608945,-9.83938171475427,-21
1730455128.3560088,2.289829082455544,0
1730455128.4013863,13.557726563223671,42
1730455128.4988186,-8.904493242627648,-23
1730455128.5633504,12.308728763978278,34
1730455128.622494,3.525332412719727,34
1730455128.754092,5.697175993343499,46
1730455128.8052692,3.9193094855284927,43
1730455128.8438914,2.0169446789138927,36
1730455128.921721,-11.509336747600123,-31
1730455129.0060122,10.256994436061477,29
1730455129.057625,6.371089097368076,40
1730455129.1300032,-11.718480379841912,-27
1730455129.1757007,-0.24950502370469096,-20
1730455129.2205074,12.415390971534917,24
1730455129.3095565,5.847352136624895,39
1730455129.3830957,-11.187722235271034,-26
1730455129.49116,-4.129642950854005,-35
1730455129.5552087,-3.833423366417011,-37
1730455129.607967,22.274934254805228,52
1730455129.6562984,0.2058907985805214,35
1730455129.7690918,-5.726599179148259,-15
1730455129.8831816,1.5216494426184943,0
1730455130.0189478,-2.768185662596445,-17
1730455130.1497343,-3.139023482590757,-26
1730455130.2372093,8.07149153526975,23
1730455130.3226597,-0.12551519303872394,11
1730455130.39612,-1.3189965450293362,0
1730455130.483724,0.17862393856048583,0
1730455130.5278423,-17.18776527709602,-53
1730455130.5671492,18.642624057395018,14
1730455130.6121414,-6.165708218811215,-10
1730455130.7752082,-11.775783706110683,-77
1730455130.8332863,-8.532701775917667,-80
1730455130.9001288,-9.571208032649102,-86
1730455130.9648006,-7.195725033504222,-80
1730455131.0250309,-8.705965355206237,-82
1730455131.0740528,-8.414531643390657,-82
1730455131.1208246,-8.452825448513032,-82
1730455131.172648,-9.375789249914597,-85
1730455131.4166074,-15.17059953202804,-128
1730455131.479194,-13.228610985368652,-127
1730455131.5535867,-13.953519370191557,-129
1730455131.608109,-13.187786064434539,-127
1730455131.6565742,-10.852654494058575,-118
1730455131.723064,-16.306984497994062,-132
1730455131.8102949,-13.021917991674227,-126
1730455131.851204,5.569555434941213,-70
1730455131.9106166,-17.57447965469855,-104
1730455131.9690034,-10.33703496501846,-99
1730455132.029212,-12.819737097781296,-105
1730455132.1531994,-9.224009053852752,-90
1730455132.2735977,-11.092900955468652,-93
1730455132.4083478,-6.404556489583767,-67
1730455132.457551,8.091075683391026,-13
1730455132.5517373,-11.021678851292805,-52
1730455132.6517856,-9.754144995528746,-66
1730455132.765647,-4.840586267726335,-47
1730455132.8300307,1.4044781920486558,-16
1730455132.9268317,-0.16737065528188388,0
1730455132.9824874,-9.11837862696931,-26
1730455133.1939394,-3.592674525272517,-20
1730455133.293484,6.780799138278548,33
1730455133.3488991,-14.844376495606017,-25
1730455133.3859837,-7.324224275037581,-33
